cups,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
9a3b34521cfa,0.0,4.94,4.39,9.6,4.25,58.44,1.65,1.51,0.0,0.0,0.0,0.55,0.82,3.43,7.41,0.27,2.74
9c890590d367,0.0,0.0,0.14,0.96,0.0,6.87,58.52,31.59,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.14
9fa8e9422c8d,0.0,12.21,16.6,13.85,5.76,7.68,15.36,15.5,0.0,0.14,0.0,0.0,0.96,5.9,3.84,0.27,1.92
a1c7814da365,0.0,7.95,8.22,9.32,2.05,4.11,0.0,9.45,0.0,0.68,0.0,10.27,15.48,11.23,4.11,1.92,15.21
a3551673db03,0.0,0.72,0.72,0.0,0.0,0.18,61.4,36.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a436c4d5cbeb,0.0,1.23,8.08,5.75,16.71,30.55,2.6,19.18,0.0,0.0,0.0,0.41,0.0,0.68,3.01,10.14,1.64
a97896649004,0.0,0.14,0.27,3.71,0.0,0.82,81.87,12.5,0.0,0.0,0.0,0.0,0.0,0.55,0.14,0.0,0.0
ab6c9e4d8e64,0.0,3.15,13.01,6.71,5.62,9.73,2.19,53.84,0.0,0.0,0.0,0.27,0.0,0.68,1.78,0.14,2.88
ab80ec0882ca,0.0,3.56,3.7,2.47,1.23,1.37,0.0,0.68,43.29,10.14,0.0,6.3,3.29,8.36,6.58,3.29,5.75
acb5ee1b35fd,0.0,0.68,1.64,0.41,0.55,2.33,29.86,64.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
ad7b0d773a4a,0.0,4.52,7.4,7.95,3.29,12.74,14.93,47.26,0.0,0.0,0.0,0.0,0.14,0.55,1.23,0.0,0.0
add697153a07,0.16,0.96,1.28,5.27,1.44,3.67,60.38,25.4,0.16,0.0,0.0,0.0,0.0,0.16,0.32,0.64,0.16
b1a8b5dfd391,0.14,4.12,0.41,1.1,0.69,0.96,0.0,5.21,0.14,30.45,0.41,7.41,10.56,21.67,0.69,0.55,15.5
b46938568ddc,0.0,0.0,0.0,0.41,0.27,70.23,18.38,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0
b476034a2e3d,0.0,40.3,4.48,2.49,1.0,4.98,3.98,7.46,0.0,0.0,0.0,2.99,2.49,26.37,0.0,0.0,3.48
b6b8b829ca63,0.0,0.96,1.23,0.14,0.0,0.96,60.36,36.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14
b6e12ac4aa4b,0.48,7.67,13.43,3.84,3.6,16.07,6.95,22.06,3.84,0.72,0.0,3.84,2.16,2.64,6.47,2.88,3.36
ba38270a360e,1.14,16.57,10.86,2.29,4.0,8.57,11.43,41.71,0.0,0.0,0.0,0.0,0.0,2.29,0.57,0.0,0.57
bbfd7c7fa784,0.0,0.96,1.78,0.0,0.27,5.48,32.74,58.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bf03a8cf21da,0.14,6.99,3.97,6.58,13.56,10.14,0.14,3.15,0.0,0.41,0.0,15.07,3.7,3.84,5.21,7.12,20.0
c1244d6dea7a,0.0,6.2,11.57,0.83,0.28,4.27,25.48,48.35,0.0,0.14,0.0,0.0,0.41,1.24,0.83,0.0,0.41
c32f47bda75b,0.55,7.67,11.78,11.1,10.96,27.67,1.37,23.84,0.0,0.0,0.0,0.0,0.14,1.1,2.05,0.82,0.96
c422e08d8f19,0.0,3.29,3.16,12.21,3.16,10.29,3.98,41.29,0.0,0.14,0.0,0.82,0.55,2.74,12.07,0.0,6.31
c4a177fb3092,2.34,1.79,2.2,7.97,7.14,7.42,1.1,3.85,9.89,3.02,0.55,4.67,6.32,5.63,6.46,16.48,13.19
c5fa6b7264f9,0.0,4.95,4.4,1.79,0.0,1.1,27.88,34.2,0.14,3.98,0.0,1.37,7.97,9.34,2.34,0.0,0.55
c762bb72bd52,0.0,4.4,11.4,10.85,0.41,8.1,14.42,13.6,0.0,0.14,0.0,10.58,15.38,3.57,3.43,0.0,3.71
c8b50ccf6f9c,0.0,0.74,1.86,0.0,0.0,2.97,22.3,72.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc26481a6b26,0.0,2.47,3.43,2.88,2.19,6.04,27.85,55.01,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
ce0e3832ae5b,0.0,2.75,5.49,12.09,0.14,1.1,43.96,29.67,0.0,0.0,0.0,0.0,0.0,0.69,3.3,0.0,0.82
ceaddbf817fc,0.0,6.61,4.13,10.74,1.65,15.7,0.0,19.83,0.0,0.0,0.0,1.65,0.0,0.0,11.57,0.0,28.1
cf5c2db7d01b,0.0,4.25,6.04,6.72,5.35,36.49,11.11,26.75,0.0,0.0,0.0,0.0,0.14,0.14,1.23,1.37,0.41
d0fbcc1108d8,0.0,3.7,2.78,0.93,0.0,3.7,49.07,38.89,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
d15c67c0173b,0.0,2.19,2.19,17.01,0.55,3.98,14.27,58.3,0.0,0.0,0.0,0.14,0.0,0.0,0.27,0.0,1.1
d18448fa2230,0.0,2.74,2.88,0.55,0.14,1.65,81.07,7.82,0.0,0.0,0.0,0.0,0.14,0.27,2.61,0.0,0.14
d4032a0b3dea,0.0,30.86,7.96,3.02,0.14,3.43,14.13,24.01,0.0,0.14,0.0,0.0,1.23,10.29,4.25,0.27,0.27
d55816977df1,0.0,10.01,16.32,1.23,1.37,6.04,11.11,9.33,1.51,2.61,38.82,0.0,0.14,0.41,0.55,0.14,0.41
d60abb43b0bc,0.0,2.88,5.75,2.05,1.64,3.97,24.79,58.49,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.14
d8555c97f799,0.14,9.32,19.73,10.82,1.64,11.37,0.82,3.01,2.74,14.66,0.0,8.49,7.81,3.15,2.47,0.55,3.29
e00164f28d81,39.51,2.74,0.41,0.82,0.14,9.88,33.33,5.9,3.43,0.41,0.27,0.0,0.0,0.14,0.0,2.88,0.14
e1c96aca8aa9,0.0,2.16,10.06,2.73,4.6,5.6,5.46,3.16,0.0,0.0,0.0,12.5,5.6,2.16,26.58,10.34,9.05
e2972a4aa5d5,0.0,0.41,2.47,7.27,0.0,1.51,41.98,40.88,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.0,0.14
e7b153decb4b,0.0,0.0,0.0,0.91,0.6,0.6,67.98,29.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e9ae574ff977,1.92,14.54,11.11,7.27,0.69,4.12,2.74,4.12,0.0,2.47,0.0,3.7,7.54,17.15,10.97,0.0,11.66
e9ba19111ba2,0.24,1.68,4.57,2.64,10.82,22.12,2.64,37.74,0.0,0.0,0.0,0.48,0.0,0.0,2.16,13.7,1.2
eecaa816b74b,0.0,2.34,2.2,2.61,0.55,3.57,11.95,67.03,0.0,0.0,0.0,0.82,0.27,0.27,5.63,1.79,0.96
f01cc7652e9e,0.0,6.03,10.14,29.86,9.86,19.45,1.1,9.32,0.0,0.0,0.0,0.27,0.41,3.15,5.62,0.27,4.52
f031c514ae35,0.2,1.61,30.78,1.81,3.02,3.62,0.8,5.84,0.0,0.0,0.0,8.05,29.38,2.82,7.44,0.6,4.02
f1a487408720,0.0,0.0,0.0,0.0,0.0,0.0,84.91,15.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f695586984d6,0.0,1.56,27.86,7.03,0.0,9.38,9.64,41.93,0.0,0.0,0.0,0.26,0.26,0.52,1.04,0.0,0.52
fc6f5ded11aa,0.0,8.65,12.87,6.33,1.69,17.51,9.07,41.14,0.0,0.0,0.0,0.21,0.42,0.63,1.05,0.0,0.42
fef3a0e21aab,0.0,5.76,9.6,6.17,7.41,37.45,4.66,25.38,0.0,0.0,0.0,0.0,0.0,0.41,2.06,0.82,0.27
