cups,0,1,2,3,4,5,6
e7b153decb4b,95.77,0.0,0.0,0.0,0.0,4.23,0.0
e9ae574ff977,6.72,22.91,2.19,0.0,0.82,25.24,42.11
e9ba19111ba2,35.58,13.7,0.24,0.0,2.64,45.91,1.92
eecaa816b74b,76.37,5.77,0.55,0.0,0.0,14.42,2.88
f01cc7652e9e,9.04,11.64,0.0,0.0,0.0,72.74,6.58
f031c514ae35,5.84,12.68,13.08,0.0,0.2,37.42,30.78
f1a487408720,100.0,0.0,0.0,0.0,0.0,0.0,0.0
f695586984d6,45.05,2.08,0.0,0.0,0.0,49.48,3.39
fc6f5ded11aa,45.36,1.9,0.0,0.0,0.0,51.48,1.27
fef3a0e21aab,26.06,2.74,0.0,0.0,0.0,69.27,1.92
