cups,0,1,2,3,4,5,6,7,8,9,10,11,12
c8b50ccf6f9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,22.27,76.89,0.0
cc26481a6b26,0.0,0.0,0.0,0.0,0.0,0.0,0.16,5.39,5.07,0.0,27.26,62.12,0.0
ce0e3832ae5b,0.0,0.0,0.0,0.29,1.59,0.0,0.0,12.45,9.84,0.0,9.84,65.99,0.0
ceaddbf817fc,0.0,0.0,0.0,19.01,7.44,0.0,0.0,6.61,33.06,0.0,33.06,0.83,0.0
cf5c2db7d01b,0.0,0.0,1.06,0.45,0.75,0.0,0.0,9.8,23.38,1.21,52.19,11.16,0.0
d0fbcc1108d8,0.0,0.0,0.0,0.0,0.93,0.0,0.0,5.56,0.93,0.0,10.19,82.41,0.0
d15c67c0173b,0.0,0.0,0.0,0.7,0.14,0.0,0.0,2.36,10.01,0.14,38.25,48.4,0.0
d18448fa2230,0.0,0.0,0.0,1.06,10.05,0.0,0.0,12.17,7.41,0.0,22.75,46.56,0.0
d4032a0b3dea,0.0,0.0,0.31,0.16,11.48,0.94,0.16,38.36,5.35,0.31,29.09,13.84,0.0
d55816977df1,4.06,42.41,0.15,0.45,1.05,0.0,0.0,19.55,3.46,0.15,23.31,5.41,0.0
d60abb43b0bc,0.0,0.0,0.0,0.15,0.0,0.0,0.0,5.96,3.43,0.15,28.02,62.3,0.0
d8555c97f799,9.79,0.0,0.41,4.83,5.38,11.45,10.21,29.38,13.66,0.14,13.93,0.83,0.0
e00164f28d81,2.5,0.38,1.73,0.0,0.19,0.0,0.0,12.09,2.69,20.54,13.63,11.13,35.12
e1c96aca8aa9,0.0,0.0,8.85,9.29,24.63,6.34,7.08,18.44,12.54,4.72,3.39,4.72,0.0
e2972a4aa5d5,0.0,0.0,0.0,0.0,2.03,0.0,0.0,6.22,7.96,0.0,6.66,77.13,0.0
e7b153decb4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,15.62,83.12,0.0
e9ae574ff977,0.84,0.0,0.0,12.2,24.96,4.07,3.23,27.49,13.18,0.42,11.22,1.82,0.56
e9ba19111ba2,0.0,0.0,10.87,0.97,0.97,0.24,0.24,4.59,14.01,13.04,37.92,17.15,0.0
eecaa816b74b,0.0,0.0,1.37,0.55,3.3,0.14,0.69,2.61,6.87,0.55,27.88,56.04,0.0
f01cc7652e9e,0.0,0.0,0.14,2.48,5.66,0.14,0.14,19.86,53.24,0.55,15.17,2.62,0.0
f031c514ae35,0.0,0.0,0.6,3.83,13.31,14.31,15.73,34.27,4.64,0.81,9.48,3.02,0.0
f1a487408720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,99.3,0.0
f695586984d6,0.0,0.0,0.0,0.0,0.85,0.0,0.28,22.54,6.48,0.0,48.17,21.69,0.0
fc6f5ded11aa,0.0,0.0,0.0,0.22,1.32,0.22,0.0,12.75,11.43,0.88,47.47,25.71,0.0
fef3a0e21aab,0.0,0.0,0.56,0.28,0.84,0.0,0.0,16.85,30.36,1.81,34.26,15.04,0.0
