cups,media_invierno,std_invierno,skewness_invierno,kurtosis_invierno,energia_fft_invierno,frecuencia_dominante_invierno,mediana_invierno,p25_invierno,p75_invierno,media_otoño,std_otoño,skewness_otoño,kurtosis_otoño,energia_fft_otoño,frecuencia_dominante_otoño,mediana_otoño,p25_otoño,p75_otoño,media_primavera,std_primavera,skewness_primavera,kurtosis_primavera,energia_fft_primavera,frecuencia_dominante_primavera,mediana_primavera,p25_primavera,p75_primavera,media_verano,std_verano,skewness_verano,kurtosis_verano,energia_fft_verano,frecuencia_dominante_verano,mediana_verano,p25_verano,p75_verano,media_anual,std_anual,skewness_anual,kurtosis_anual,energia_fft_anual,frecuencia_dominante_anual,mediana_anual,p25_anual,p75_anual
30c53527a644,0.3430916666666666,0.3387314186854087,2.0631335027012123,3.8743984856516,1004.18774,180.0,0.208,0.15,0.359,0.220900641025641,0.2208145670087281,2.9221918074423816,10.183641624853498,426.1253339999999,182.0,0.146,0.104,0.24,0.2455307971014493,0.2326137071040698,2.8536946653308006,9.638109430295,505.1661520000002,184.0,0.1605,0.117,0.26225,0.2995614754098361,0.2595540484238235,2.051249607332258,3.5425152982298096,690.006836,183.0,0.196,0.156,0.308,0.2770340649291266,0.2707659538108538,2.476537738845099,6.528087836737958,2625.486061999999,729.0,0.177,0.125,0.289
31a15c8a5985,0.0505335648148148,0.0254429242014695,2.5351779645370103,24.449709243289984,13.828249,241.0,0.052,0.036,0.059,0.0566231684981685,0.0376984484605699,6.277932746537254,72.2358456090252,20.212292,5.0,0.056,0.038,0.065,0.0523272192028985,0.0244884260236339,6.310519754724204,99.16514845795392,14.739817,2.0,0.051,0.044,0.058,0.0721279761904761,0.0385811352548437,23.85264322670559,814.1980258544784,29.22606500000001,2.0,0.069,0.059,0.079,0.0579079097985348,0.033336576216053,12.667106431695766,419.2833441890632,78.006423,2.0,0.056,0.046,0.067
320c764758d0,0.6331865740740741,1.319166237244727,2.2153215729646822,3.651303689708951,9249.659132,180.0,0.054,0.032,0.141,0.1638582875457875,0.5431741286113247,6.039088666223762,38.2056518274449,1406.0053529999996,2.0,0.052,0.033,0.079,0.324026268115942,0.925560219962687,3.749300046870903,14.038751210296514,4246.667346,184.0,0.052,0.033,0.087,0.0799824681238615,0.0730831668908597,5.003725332654756,32.810911503186745,51.554809000000006,183.0,0.066,0.044,0.09,0.2991130544124371,0.874776856920862,3.988743477206296,15.69500665802665,14953.88664,729.0,0.056,0.036,0.091
3341083403f9,0.0534729166666666,0.0594091136528022,6.090663094143848,70.85388854388302,27.599597000000003,180.0,0.041,0.013,0.08,0.0536806318681318,0.0481369371320045,5.613889428145498,73.45494001492213,22.708249,182.0,0.046,0.023,0.07,0.0527923460144927,0.0486975809345831,5.594616869411234,58.396407194419055,22.779875,368.0,0.045,0.023,0.068,0.072625,0.0697003758208802,8.470429949151736,93.47561243862116,44.502085000000015,183.0,0.063,0.057,0.071,0.0581607224508459,0.0577778856284943,7.147798244967193,88.49666310689256,117.58980599999994,1458.0,0.05,0.026,0.071
3395624729d9,0.3579868055555555,0.3875694830918125,1.5162024003233987,3.096099377387296,1202.535319,180.0,0.191,0.041,0.599,0.2208814102564102,0.2632155712411382,2.0756063114953363,4.649222307884368,515.734278,182.0,0.1714999999999999,0.036,0.26325,0.2820885416666666,0.3249108302910903,1.951432797098233,4.08214846069,817.582625,184.0,0.185,0.043,0.337,0.1783122735507246,0.2600639267733613,2.591481591606324,8.44878671930146,439.076313,184.0,0.0665,0.0,0.21925,0.2593860159817351,0.3201886189946029,2.0191079701021923,5.011406960580471,2974.928535,730.0,0.172,0.034,0.326
3446f68001b1,0.2731976851851851,0.2958228985549571,1.7230667448327848,3.3249781330361863,350.240031,90.0,0.179,0.043,0.402,0.2308795787545787,0.2216488342780509,1.681822348700135,4.387060275910606,223.714951,91.0,0.166,0.05475,0.3492499999999999,0.2218756510416666,0.2047361428355284,1.3819050162622872,2.1950677654014505,279.9995679999999,128.0,0.161,0.057,0.34,0.2199620253164557,0.1790688619308161,1.4392655011321187,1.4329937208046557,305.0624179999999,316.0,0.138,0.092,0.301,0.2328734832262669,0.2217650435231798,1.7794161165591642,4.4869807500463805,1159.016968,467.0,0.158,0.078,0.34
35d9bd5323b9,0.3250789351851851,0.3144244889929787,2.477886631826561,9.308219717139629,883.608797,180.0,0.216,0.12,0.37925,0.3121410256410256,0.3030438694261118,2.4043012478856065,7.331928796382124,826.7209059999999,182.0,0.2105,0.121,0.361,0.2996764039855072,0.2854879636624399,2.3687044819668817,6.982894620341943,756.501977,184.0,0.197,0.119,0.34,0.3535224184782609,0.3170932782988933,2.3957149825177875,8.068428763293419,995.9239089999998,184.0,0.243,0.151,0.428,0.322619805936073,0.3058795968511554,2.4186612257982056,8.09517879804,3462.7555890000003,730.0,0.215,0.127,0.377
38194b2cee3c,0.6597372685185185,0.563924104018031,2.132793195852108,5.349764337730862,3254.099005,180.0,0.421,0.302,0.8282499999999999,0.4632829670329671,0.4851061338907698,2.3935244956001296,6.513027640973903,1965.4212120000004,182.0,0.2845,0.169,0.517,0.4587522644927536,0.5146558150950754,2.7218583203267364,9.830458534640249,2099.0318799999995,184.0,0.259,0.165,0.491,0.7220054945054944,0.5669802742424703,1.262363055672401,2.008289243851705,3681.169414,182.0,0.612,0.225,1.038,0.575392342032967,0.5463391512135782,2.001502246785257,4.996912535930576,10999.721511,728.0,0.358,0.205,0.775
3834b65f3a70,0.3884837962962963,0.5407707173275208,1.7481438217533851,2.7384111259231325,1915.283356,180.0,0.066,0.043,0.5882499999999999,0.1853047161172161,0.3198596444935817,3.5667858709775366,14.900922656244369,596.878595,182.0,0.069,0.052,0.123,0.2618113677536232,0.4337413318969892,2.59132139435199,7.000537018339637,1133.4844629999998,184.0,0.066,0.049,0.176,0.1524929800724637,0.2081803734397246,4.199495178708365,20.819308245027912,294.0754689999999,184.0,0.09,0.063,0.142,0.2464171803652968,0.4051524943915369,2.792622753958574,8.49017188125511,3939.721883,730.0,0.074,0.051,0.163
3a04ebb76f6a,0.3044532407407407,0.2370911600712731,3.6393664350380823,20.74014120459837,643.2652539999999,360.0,0.233,0.175,0.317,0.2251046245421245,0.2141213246353461,2.940759804100902,11.76152359425235,421.599507,364.0,0.16,0.096,0.251,0.2414784873188406,0.2340653727529708,3.614785928551635,23.52977944096049,499.442793,368.0,0.173,0.106,0.265,0.2439303278688525,0.2744838261698751,3.090780955785075,10.527402194811811,592.232106,183.0,0.143,0.109,0.228,0.2535554412437129,0.2428346133035129,3.2857017024513584,16.087777308102112,2156.53966,1458.0,0.178,0.119,0.272
426fb012b93d,0.1152979166666666,0.1033004938647282,5.037459263528449,44.9989170106347,103.527079,180.0,0.09,0.057,0.141,0.1154743589743589,0.0828651911860666,5.689999244721438,61.86024449644438,88.23782599999998,182.0,0.099,0.068,0.14,0.1168768115942029,0.1238281986363172,5.08925208826018,33.39416509191805,128.03578999999996,184.0,0.086,0.06,0.131,0.1418321886446886,0.1062082540207347,5.33525269004496,37.53179805482532,137.14018700000003,182.0,0.121,0.093,0.161,0.1223746565934066,0.105722255791373,5.275059392812735,41.7121632316238,456.940882,728.0,0.102,0.067,0.144
