cups,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12
2e4065ba71b8,-1.2226480996643248,0.8205691198999014,-1.5276910346730816,0.5010792843052877,-0.6906219431521029,0.4148220896760041,0.25173000346638147,-0.9372127998646277,-0.032996985748963335,-0.1446011498969855,-0.018848711381373954,0.016978155621085723
2e8f61c97ff0,3.9848234329152814,0.20842604736579032,-0.6336263093802855,0.5707213938432354,-0.316288369588786,-0.4148304689055461,0.6784125161566824,0.03392299012567177,0.48911112734712275,0.28117930757391607,0.602920418891128,0.08251202482366729
30c53527a644,-0.7167935405485545,-0.8124627851105075,-1.2479758657907423,0.22668973327011627,-0.11518411549188663,-0.7965746366262824,0.2914878626638858,-0.25089411372997006,-0.5146823410363635,-0.15140742481048725,-0.2473344012789492,0.20058952392970245
31a15c8a5985,-7.511720893299261,-1.349478494595764,6.961969845146525,1.654421597147701,-2.21859793381474,0.09611633471656529,1.0626624184239115,-0.253563503508318,-0.4447586988342034,0.5377709214842203,0.953285867886429,0.5530795882804947
320c764758d0,-0.874037916665234,6.078442098330743,2.232189688655034,-0.2810755643626277,1.4627164071982488,-2.524636914702745,-0.0340381234039503,-0.08255323411510257,-0.8866881988929529,-0.29377709198337526,-0.15998837173062128,-0.6811248203883239
3341083403f9,-7.193962149664865,-0.7953344833707137,1.6620185298365648,0.3862410070621664,3.084031041936419,0.5045278397121009,-1.1345806852245612,-0.6677778358016233,1.3038022880314786,-0.5919379372985543,0.43834178507626265,-1.1906229167531843
3395624729d9,-1.22116642219875,1.497696054997181,-1.6604820484824907,0.7708553911186302,-0.9181943989803805,0.5126075725475832,0.24294014020340202,-0.46320407077310355,0.4851780769784943,-0.05370344626389226,0.6349143010445735,-0.1160478000573728
3446f68001b1,-1.2939199713889509,0.17016842194396295,-2.030814672496347,-0.004875855251792459,-1.5510321020863882,-0.350486641044235,0.02664793518094212,-0.8182378300372517,0.19690785047869797,-0.28882353418519696,0.9665710973859213,-1.0650971994171043
35d9bd5323b9,0.43448526599212534,-1.047878295384705,-1.1489021495780392,0.36244188038161296,-0.11134038650596884,-0.26081334851213844,-0.1276450952846534,0.3206760786621811,-0.253195780331758,-0.3910932392905742,-0.3261382958268019,-0.05289597182086411
38194b2cee3c,6.118673700095157,-2.0662143468890855,0.23193941242215582,-0.13059509815606835,0.882192313302226,0.4638260811366421,-0.6602033606995356,-0.18814619312353478,-1.52814369243483,-0.3889208453897827,-1.5821147879349455,-0.0608011181499615
3834b65f3a70,-2.0133158483632356,2.2224863100698173,-0.7479583424464189,0.598090249731994,-0.1956728730890947,-0.639712388404635,-0.00020706311144642566,-0.6474161435714287,-0.40206546599928794,0.0058504923795489475,0.18895794638013677,0.24969581042019592
3a04ebb76f6a,-1.5268493012064415,-1.1663416817683925,-1.424905585447656,2.2668523770676083,2.242980563983264,0.08812677351478089,0.34040459995045214,0.09912974884443926,0.5266243471331062,-0.4372144018671134,-0.4356123822919357,0.6004999468779976
426fb012b93d,-5.130117843625057,-1.0877018990904745,0.9337511177184808,-0.7254254189702607,1.828310099921004,-0.16237496999008894,-0.717856752946199,-0.19473045798553135,0.29469359635813197,-0.2725643023696422,0.9116676367916259,-0.11811558562095038
43418b1f8c9d,-8.24447574662553,-0.9657817776788835,5.186277861112652,-1.9208803726165116,4.386024827710465,1.866500850634709,2.602588524841871,0.227635852925374,-1.6437267215426554,2.0112260938707083,0.45727061642982064,-0.4233305365063547
43c6b2a5a249,-4.2060691267964705,-0.27527235691822094,0.18759679549816022,-0.8166276310025823,0.7552439228546454,0.1218686495315101,1.0112364737092379,-0.2437162860987897,-0.23076291040397653,0.23961386345285787,-0.5766444233737267,0.6487539979400143
49771a22ec98,-3.2006729009643227,0.28959985726064835,-0.7189299674222221,-0.9713083455805183,-1.6179565166949856,1.0326603963975873,1.1863316243186628,0.1836315956844544,0.6334729871244743,-1.4946651573693717,0.3378300543344844,0.8590715482925143
4b5a8b35b128,-1.5652634640109617,-0.6391987132639175,-1.0024429577026497,-0.6782151050366655,-0.35636904974153194,0.5479787317497757,-0.5295628648310506,-0.939435959500909,-0.19383812894027985,0.02484068085931044,-0.5587127961982657,0.177655508565311
4d0a1993dfcd,-4.541774230169737,0.639746111776109,-1.529658219483991,0.011611713319797117,-2.1270258980637684,0.290198615765021,0.9978099210976594,-0.3656270042991662,1.292043889400843,-1.0972981116199514,-0.6855207005229074,-0.30089035572275613
4df4744c39fb,-3.5572229856522397,-0.24752687707585416,-0.6931486900618915,-0.9129279869866586,-0.43276245990001017,-0.7406076399353494,-0.7108538128064438,-0.3554079312382665,2.2294304960008744,2.954255168894903,-2.7714817495921493,-1.745058708947464
4f514478e276,2.512258750113072,0.9308552151025988,-0.7386941006166609,-0.011779810499912086,-1.055209110489897,2.029294522632911,-0.20325295064850027,-0.5347265473967729,0.14620408843523397,-0.06633387306097523,-0.8341822680702053,0.5127183757148933
5050e482704a,11.230601408047637,-0.9804129185356499,0.15800590156813252,0.7075264201087013,0.13615991500678015,1.2034622594594662,0.36020374442228303,1.2851397484323355,1.316609940393364,0.33700711382842896,1.1691339521245416,-0.6097035770087066
51bcc44b2656,-2.047790517527955,-1.1133526146297374,-0.6139000275247796,-0.2616532194894767,-0.12787146359661167,-0.6947894556309892,0.572091480230546,0.6950538188944507,0.037252111837940985,-0.13158829467673228,-0.7504512327221576,0.8503551821710786
522ec2c9ceb6,1.4493971183047498,-0.0723932226877105,-2.337758157928644,2.25039657385317,0.3157369694353068,0.06930361380130083,0.12505288729151828,-0.6698713251916304,-1.0954215020426974,-1.1205100607668304,1.7725733718769159,-1.3899183706805107
524130194799,-5.376337293911984,1.0717910453172368,-2.82161064832216,0.7000219372270152,-1.3261541702795674,-0.07748892958949746,1.228761473853995,-1.061171040433834,1.522095511418341,-1.0080687216066981,-1.7325038858833277,-0.7995768844316632
540f95348569,-2.403211086681739,0.2871738255429728,-1.2506228654905671,0.4145657076917051,-0.27031248187364104,-0.005336540693339885,0.15377538855885842,-0.3634901053319625,0.10514091860477608,-0.3608755706780202,0.030316589035605933,-0.070013400613469
56bf498d0564,-0.22108009087952174,1.2704597265420337,-0.7305993576022519,0.19360981928181265,0.08044417983596364,-0.10739856032449259,-0.15581094839162424,-0.9877542711628918,-1.091937090740178,0.1274608949756177,-0.33971756486418003,0.2771152940211784
5937660386d6,-3.074398521946875,0.5212549754098513,-0.7015881087229848,-0.48236154346763715,-0.7351234239060027,-0.6794724940003417,0.00219011488176622,-0.45011087316428305,0.0806523606179007,0.19091213784175567,0.25736122620152935,-0.40409625078255446
